,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,TotalSpended,id,num,cum,Status,Consumption,A,B,C
2,0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,10383.0,0003,01,2,0,1,A,0,S
3,0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,5176.0,0003,02,2,0,1,A,0,S
9,0008_01,Europa,True,B/1/P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,0.0,0008,01,3,0,0,B,1,P
10,0008_02,Europa,True,B/1/P,TRAPPIST-1e,34.0,False,0.0,0.0,,0.0,0.0,Altardr Flatic,True,,0008,02,3,0,0,B,1,P
11,0008_03,Europa,False,B/1/P,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True,8157.0,0008,03,3,0,1,B,1,P
52,0056_01,Europa,False,A/1/S,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True,0.0,0056,01,3,0,0,A,1,S
53,0056_02,Europa,True,A/1/S,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,Instab Tractive,True,0.0,0056,02,3,0,0,A,1,S
54,0056_03,Europa,False,A/1/S,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,True,4547.0,0056,03,3,0,1,A,1,S
103,0110_01,Europa,False,,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,False,5109.0,0110,01,4,0,1,,,
104,0110_02,Europa,,B/5/P,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,False,2018.0,0110,02,4,0,1,B,5,P
105,0110_03,Europa,False,B/5/P,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,True,15940.0,0110,03,4,0,1,B,5,P
106,0110_04,Europa,True,B/5/P,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,True,0.0,0110,04,4,0,0,B,5,P
114,0119_02,Europa,True,A/0/P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,True,0.0,0119,02,2,0,0,A,0,P
141,0163_01,Europa,True,B/8/P,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,True,0.0,0163,01,2,0,0,B,8,P
142,0163_02,Europa,True,B/8/P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,True,0.0,0163,02,2,0,0,B,8,P
178,0201_01,Europa,True,B/3/S,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,Kaffias Bacistion,True,0.0,0201,01,2,0,0,B,3,S
179,0201_02,Europa,True,B/3/S,TRAPPIST-1e,47.0,False,0.0,0.0,0.0,0.0,0.0,Edaruma Bacistion,True,0.0,0201,02,2,0,0,B,3,S
180,0202_01,Europa,True,B/9/P,55 Cancri e,45.0,False,0.0,0.0,0.0,0.0,0.0,Pomera Embleng,True,0.0,0202,01,2,0,0,B,9,P
181,0202_02,Europa,False,A/2/P,55 Cancri e,,False,0.0,2433.0,,878.0,443.0,Vegas Embleng,True,,0202,02,2,0,0,A,2,P
229,0245_01,Europa,False,C/6/P,55 Cancri e,46.0,False,0.0,3571.0,0.0,0.0,7.0,Glueba Repumparte,True,3578.0,0245,01,2,0,1,C,6,P
230,0245_02,Europa,False,C/6/P,TRAPPIST-1e,33.0,False,0.0,86.0,796.0,584.0,10912.0,Anchib Repumparte,False,12378.0,0245,02,2,0,1,C,6,P
257,0285_01,Europa,True,E/16/P,TRAPPIST-1e,14.0,False,0.0,0.0,0.0,0.0,0.0,Krabik Invebodene,True,0.0,0285,01,2,0,0,E,16,P
258,0285_02,Europa,True,E/16/P,55 Cancri e,42.0,False,0.0,0.0,0.0,0.0,0.0,Grasath Invebodene,True,0.0,0285,02,2,0,0,E,16,P
260,0287_01,Europa,True,,55 Cancri e,39.0,False,0.0,0.0,0.0,0.0,0.0,Tetra Bootty,True,0.0,0287,01,2,0,0,,,
261,0287_02,Europa,False,B/12/P,TRAPPIST-1e,28.0,False,0.0,587.0,32.0,6.0,1460.0,Alasym Bootty,False,2085.0,0287,02,2,0,1,B,12,P
264,0290_01,Europa,False,B/7/S,55 Cancri e,26.0,False,0.0,4458.0,0.0,1157.0,262.0,Skaton Excialing,True,5877.0,0290,01,4,0,1,B,7,S
265,0290_02,Europa,True,B/7/S,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Algor Excialing,True,0.0,0290,02,4,0,0,B,7,S
266,0290_03,Europa,,B/7/S,TRAPPIST-1e,43.0,False,0.0,0.0,0.0,0.0,0.0,Dhenar Excialing,True,0.0,0290,03,4,0,0,B,7,S
267,0290_04,Europa,False,B/7/S,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,Atino Excialing,True,0.0,0290,04,4,0,0,B,7,S
287,0316_01,Europa,False,B/9/S,TRAPPIST-1e,24.0,False,0.0,2628.0,,170.0,0.0,Hallah Sorbitter,True,,0316,01,2,0,0,B,9,S
288,0316_02,Europa,True,B/9/S,TRAPPIST-1e,20.0,False,0.0,0.0,0.0,0.0,,Beneba Sorbitter,True,,0316,02,2,0,0,B,9,S
296,0330_01,Europa,False,C/14/S,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Bellah Siveduced,True,0.0,0330,01,3,0,0,C,14,S
297,0330_02,Europa,False,C/14/S,TRAPPIST-1e,32.0,False,247.0,4651.0,0.0,46.0,202.0,,True,5146.0,0330,02,3,0,1,C,14,S
298,0330_03,Europa,False,C/14/S,TRAPPIST-1e,33.0,False,443.0,317.0,0.0,148.0,1260.0,Hekaton Siveduced,False,2168.0,0330,03,3,0,1,C,14,S
336,0378_01,Europa,False,B/11/S,55 Cancri e,18.0,False,17.0,215.0,4.0,5132.0,697.0,Bram Pirejus,False,6065.0,0378,01,7,0,1,B,11,S
337,0378_02,Europa,True,B/11/S,55 Cancri e,21.0,False,0.0,0.0,0.0,0.0,0.0,Marfak Pirejus,True,0.0,0378,02,7,0,0,B,11,S
338,0378_03,Europa,False,B/11/S,TRAPPIST-1e,79.0,False,5649.0,235.0,7.0,2579.0,2175.0,Naslon Pirejus,False,10645.0,0378,03,7,0,1,B,11,S
339,0378_04,Europa,True,B/11/S,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,Muonons Pirejus,True,0.0,0378,04,7,0,0,B,11,S
340,0378_05,Europa,True,B/11/S,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Polaton Pirejus,True,0.0,0378,05,7,0,0,B,11,S
341,0378_06,Europa,False,B/11/S,TRAPPIST-1e,33.0,False,0.0,2491.0,6.0,1173.0,1059.0,Sollum Pirejus,False,4729.0,0378,06,7,0,1,B,11,S
342,0378_07,Europa,True,B/11/S,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,Achib Pirejus,True,0.0,0378,07,7,0,0,B,11,S
345,0381_01,Europa,True,B/16/P,55 Cancri e,18.0,False,0.0,0.0,0.0,0.0,0.0,Mesatan Mosteraked,True,0.0,0381,01,2,0,0,B,16,P
346,0381_02,Europa,True,B/16/P,55 Cancri e,38.0,False,0.0,0.0,,0.0,0.0,Aston Mosteraked,True,,0381,02,2,0,0,B,16,P
358,0395_01,Europa,False,B/17/P,55 Cancri e,31.0,True,0.0,11003.0,552.0,8157.0,5688.0,Meropus Hervel,False,25400.0,0395,01,2,0,1,B,17,P
359,0395_02,Europa,False,B/17/P,55 Cancri e,61.0,False,1.0,608.0,0.0,3835.0,1.0,Hadyon Hervel,False,4445.0,0395,02,2,0,1,B,17,P
378,0417_01,Europa,True,B/18/P,55 Cancri e,68.0,False,0.0,0.0,0.0,0.0,0.0,Lesatik Poicaptic,True,0.0,0417,01,3,0,0,B,18,P
379,0417_02,Europa,False,B/18/P,55 Cancri e,22.0,False,0.0,1170.0,0.0,5467.0,1241.0,Mirark Unhearfus,False,7878.0,0417,02,3,0,1,B,18,P
380,0417_03,Europa,True,B/18/P,TRAPPIST-1e,59.0,False,0.0,0.0,0.0,0.0,0.0,Enifik Unhearfus,True,0.0,0417,03,3,0,0,B,18,P
387,0429_01,Europa,False,A/5/S,55 Cancri e,20.0,False,2.0,10116.0,0.0,2.0,225.0,Aino Ineysive,True,10345.0,0429,01,2,0,1,A,5,S
388,0429_02,Europa,True,A/5/S,55 Cancri e,46.0,False,0.0,0.0,0.0,0.0,0.0,Taurak Ineysive,True,0.0,0429,02,2,0,0,A,5,S
392,0433_01,Europa,,B/20/P,55 Cancri e,27.0,False,0.0,0.0,0.0,0.0,0.0,Hekark Mormonized,True,0.0,0433,01,2,0,0,B,20,P
393,0433_02,Europa,False,B/20/P,TRAPPIST-1e,47.0,False,4.0,891.0,0.0,2962.0,3656.0,Naosura Mormonized,False,7513.0,0433,02,2,0,1,B,20,P
414,0453_01,Europa,True,B/14/S,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,Aldun Taptiritty,True,0.0,0453,01,3,0,0,B,14,S
415,0453_02,Europa,True,,55 Cancri e,34.0,False,0.0,0.0,0.0,0.0,0.0,Minopus Taptiritty,True,0.0,0453,02,3,0,0,,,
416,0453_03,Europa,True,B/14/S,TRAPPIST-1e,74.0,False,0.0,0.0,0.0,0.0,0.0,Wezena Taptiritty,True,0.0,0453,03,3,0,0,B,14,S
